**************************************************************************************************************************************************

Density=        0.0 g/cc;
Temperature(eV)        Pressure(Mbar)        Energy(eV/atom)
--------------------------------------------------------------------------------------------------------------------------------------------------


19.291794312994284     1.3778146058029962e-05 87.46929168701172      
21.645749446875246     1.5644713494111782e-05 98.23326950073242      
24.286929555496673     1.777520001269295e-05  110.08321533203124     
27.250380243913476     2.0201569714117796e-05 123.236083984375       
30.57543017055847      2.3192046683107037e-05 136.71595840454103     
34.306197366975375     2.677421689440962e-05  151.23487243652343     
38.492183006198005     3.092376264248742e-05  167.21603546142578     
43.188939228447516     3.57276887370972e-05   184.8667465209961      
48.45878547376993      4.128639593545813e-05  204.2849853515625      
54.371651360137534     4.751009473693557e-05  225.72416229248046     
61.005992274565315     5.444593589345459e-05  249.36658630371093     
68.44986115330013      6.198482515173964e-05  275.3332717895508      
76.80200719116034      7.041358549031429e-05  303.88665771484375     
86.17328154319112      8.002274116734043e-05  335.2993591308594      
96.688016097169        9.090687963180244e-05  370.21326599121096     
108.48574155340268     0.00010322281086700968 409.1200866699219      
121.72300244947556     0.00011716498484020122 452.70403442382815     
136.5754522481532      0.0001330458813754376  501.36476440429686     
153.24016924432496     0.00015100728342076764 555.4508728027344      
171.938295621751       0.00017143471341114492 615.45712890625        
192.9179565729748      0.000194810978427995   682.4323303222657      
216.4574810257206      0.00022111043072072789 756.9842346191406      
242.86929021222326     0.00025048948446055875 841.0126831054688      
272.50380778187815     0.000283585034776479   935.1209289550782      
305.7542855050078      0.00032045441039372233 1040.0435729980468     
343.0619736697539      0.0003621158190071583  1155.9674438476563     
384.9218300619801      0.0004094306961633265  1286.0267822265625     
431.8894138277957      0.00046270962338894605 1431.2931274414063     
484.5878655093594      0.0005226316920015961  1593.1704223632812     
543.7164812863948      0.0005901534110307694  1773.3158935546876     
610.0599550606338      0.0006659962644334882  1974.7041259765624     
684.4985899896809      0.0007515738776419312  2199.230029296875      
768.0200611399433      0.0008474686648696661  2451.6265380859377     
861.7328154319114      0.0009560548467561602  2733.05712890625       
1004.7066984646078     0.0011234683101065458  3156.3326904296873     
1171.4020177473872     0.0013228235417045652  3650.44384765625       
1365.75439322161       0.00155723940115422    4227.409619140625      
1592.3528106492943     0.001817332545761019   4917.059716796875      
1856.5469935219237     0.0021151186898350715  5726.568701171875      
2164.5749395171283     0.0024579834192991258  6674.0296875           
2523.7089842109012     0.0028529915027320383  7792.2822265625        
2942.428750853654      0.0033084768569096924  9111.879443359376      
3430.620038304024      0.0038344893837347627  10660.8318359375       
3999.809384701227      0.004453300149179995   12446.42314453125      
4663.43534095536       0.005180174577981233   14508.4013671875       
5437.16662250286       0.006019866280257702   16901.162890625        
6339.270586258377      0.007007899321615696   19671.3701171875       
7391.045820488129      0.00816354458220303    22886.6546875          
8617.328154319113      0.00951727395877242    26620.46796875         
11129.707420165842     0.012311363499611616   34227.0685546875       
14374.570609309729     0.01599549986422062    43926.94609375         
18565.470969298618     0.020819236896932124   56260.0140625          
23978.229871537183     0.02707511782646179    72145.430078125        
30969.07249542743      0.03524478934705257    92550.8765625          
39998.096604557286     0.04594268314540386    118904.71953125        
51659.52833054348      0.059980960190296174   152860.10546875        
